City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,genhe,50.7833,121.5167,7.99,82,58,1.48,CN,1712883913
115,boyolangu,-8.1181,111.8935,26.78,86,72,1.07,ID,1712883913
116,waddan,29.1614,16.139,18.04,24,100,8.12,LY,1712883913
117,nili,33.7218,66.1302,6.73,92,100,3.13,AF,1712883914
118,new norfolk,-42.7826,147.0587,16.72,82,100,1.19,AU,1712883914
119,udachny,66.4167,112.4,-19.2,89,68,4.08,RU,1712883914
120,laayoune,27.1622,-13.2032,25.19,29,0,7.2,EH,1712883795
121,nadi,-17.8,177.4167,31.0,70,20,5.14,FJ,1712883857
122,blackmans bay,-43.0167,147.3167,16.07,70,98,3.46,AU,1712883915
123,afaahiti,-17.75,-149.2833,29.48,86,100,8.12,PF,1712883915
124,bamboo flat,11.7,92.7167,30.05,84,20,1.03,IN,1712883916
125,utrik,11.2278,169.8474,26.57,73,100,8.9,MH,1712883916
126,coyhaique,-45.5752,-72.0662,5.34,81,0,0.0,CL,1712883916
127,mastic beach,40.7668,-72.8521,15.43,97,100,6.69,US,1712883916
128,lincoln city,44.9582,-124.0179,11.74,90,100,2.68,US,1712883731
129,copala,16.65,-98.9833,25.62,74,1,1.7,MX,1712883917
130,olonkinbyen,70.9221,-8.7187,-7.91,90,100,6.78,SJ,1712883917
131,kenai,60.5544,-151.2583,4.05,93,100,1.54,US,1712883918
132,sterling,39.0062,-77.4286,19.19,85,100,7.2,US,1712883698
133,mombetsu,44.3525,143.3525,11.01,58,75,1.03,JP,1712883918
134,nar'yan-mar,67.6713,53.087,1.73,100,100,7.6,RU,1712883919
135,rio pardo,-29.9897,-52.3781,18.58,84,100,5.06,BR,1712883919
136,inhambane,-23.865,35.3833,21.11,75,97,5.54,MZ,1712883919
137,porto novo,6.4965,2.6036,29.9,80,100,4.77,BJ,1712883909
138,vadso,70.0744,29.7487,1.09,75,100,7.2,NO,1712883797
139,remire-montjoly,4.9167,-52.2667,26.02,94,75,1.03,GF,1712883920
140,batala,31.8186,75.2028,17.88,32,32,2.04,IN,1712883920
141,i-n-salah,27.1935,2.4607,20.06,29,0,5.45,DZ,1712883898
142,badger,64.8,-147.5333,7.14,46,75,6.17,US,1712883921
143,port alfred,-33.5906,26.891,13.43,84,100,2.24,ZA,1712883921
144,mafinga,-7.25,35.0667,19.79,96,95,0.77,TZ,1712883922
145,lerwick,60.1545,-1.1494,9.0,85,100,9.47,GB,1712883922
146,dahab,28.501,34.5134,22.47,47,100,5.67,EG,1712883662
147,allende,25.2833,-100.0167,22.6,22,44,2.94,MX,1712883922
148,itoman,26.1247,127.6694,24.21,73,20,3.6,JP,1712883923
149,hawaiian paradise park,19.5933,-154.9731,22.8,96,100,3.09,US,1712883923
150,egilsstadir,65.2653,-14.3948,-0.05,100,100,3.6,IS,1712883798
151,aasiaat,68.7098,-52.8699,-7.9,96,100,2.5,GL,1712883798
152,askoy,60.4092,5.226,8.16,100,75,5.14,NO,1712883924
153,tefe,-3.3542,-64.7114,24.87,97,100,0.87,BR,1712883924
154,constantia,44.1833,28.65,16.5,65,45,2.85,RO,1712883864
155,motueka,-41.1333,173.0167,19.5,96,59,4.77,NZ,1712883925
156,kapa'a,22.0752,-159.319,24.5,86,100,3.66,US,1712883667
157,toliara,-23.35,43.6667,23.15,80,99,5.01,MG,1712883925
158,chibougamau,49.9168,-74.3659,5.79,87,100,3.09,CA,1712883743
159,khromtau,50.2503,58.4347,5.44,78,100,4.45,KZ,1712883926
160,betio village,1.358,172.9211,31.02,75,89,3.0,KI,1712883926
161,khandud,36.9513,72.318,-4.99,85,45,1.62,AF,1712883926
162,bam,29.106,58.357,21.33,40,0,3.95,IR,1712883927
163,slave lake,55.2834,-114.769,13.99,21,0,8.23,CA,1712883696
164,island harbour,50.724,-1.2758,11.23,90,100,1.34,GB,1712883927
165,arno,60.1167,18.6333,6.55,82,1,6.57,SE,1712883928
166,vinukonda,16.05,79.75,25.88,82,38,1.57,IN,1712883928
167,devgadh bariya,22.7,73.9,25.77,51,39,3.27,IN,1712883929
168,chilca,-12.5211,-76.7372,21.01,89,11,3.81,PE,1712883929
169,nantucket,41.2835,-70.0995,10.08,99,100,8.75,US,1712883927
170,alesund,62.4723,6.1549,10.51,66,58,5.66,NO,1712883929
171,cold lake,54.4502,-110.2017,12.97,22,75,3.6,CA,1712883930
172,dong ha,16.8163,107.1003,27.22,72,100,1.64,VN,1712883930
173,belyy yar,53.6039,91.3903,-1.06,86,40,5.0,RU,1712883930
174,the pas,53.8251,-101.2541,5.01,75,100,2.06,CA,1712883796
175,tazovsky,67.4667,78.7,-19.83,89,100,8.27,RU,1712883931
176,balkanabat,39.5108,54.3671,13.88,84,66,1.86,TM,1712883931
177,sungai penuh,-2.0833,101.3833,21.67,88,99,0.36,ID,1712883932
178,whitehorse,60.7161,-135.0538,8.43,27,75,8.23,CA,1712883703
179,la'ie,21.6477,-157.9253,26.7,83,100,4.02,US,1712883932
180,west island,-12.1568,96.8225,27.99,78,40,3.09,CC,1712883933
181,kone,-21.0595,164.8658,24.13,79,100,0.64,NC,1712883933
182,invercargill,-46.4,168.35,9.45,82,100,2.68,NZ,1712883933
183,haiku-pauwela,20.9219,-156.3051,25.7,71,20,5.66,US,1712883934
184,tapa,59.2606,25.9586,8.62,88,95,6.27,EE,1712883934
185,gadzhiyevo,69.2551,33.3362,-0.78,86,100,10.82,RU,1712883655
186,kloulklubed,7.0419,134.2556,30.28,75,100,4.91,PW,1712883934
187,iskateley,67.6803,53.1512,1.68,100,100,7.6,RU,1712883935
188,mujiayingzi,42.1167,118.7833,19.0,39,8,8.23,CN,1712883835
189,tsiombe,-25.3,45.4833,20.02,87,100,3.04,MG,1712883936
190,turpan,42.9333,89.1667,20.15,24,8,1.04,CN,1712883936
191,gunjur,13.2019,-16.7339,22.04,83,0,4.12,GM,1712883936
192,filadelfia,39.9523,-75.1638,19.44,92,100,5.14,US,1712883768
193,lautoka,-17.6167,177.4667,30.92,70,20,5.14,FJ,1712883675
194,avarua,-21.2078,-159.775,29.03,84,75,8.23,CK,1712883937
195,vorgashor,67.5833,63.95,-9.55,87,100,8.02,RU,1712883937
196,fortuna,40.5982,-124.1573,13.7,79,100,4.63,US,1712883938
197,tavda,58.0425,65.2726,2.05,72,100,2.24,RU,1712883938
198,koutiala,12.3917,-5.4642,32.76,32,100,0.99,ML,1712883938
199,namanga,-2.5433,36.7905,19.08,93,90,1.47,KE,1712883939
200,rabo de peixe,37.8,-25.5833,17.77,99,20,0.51,PT,1712883939
201,la passe,45.5549,-0.8967,12.13,93,11,3.15,FR,1712883812
202,lubuklinggau,-3.3,102.8667,24.84,90,100,0.72,ID,1712883654
203,nuuk,64.1835,-51.7216,-2.66,86,40,3.09,GL,1712883930
204,yanam,16.7333,82.2167,26.33,74,16,1.1,IN,1712883940
205,metlili chaamba,32.2667,3.6333,13.52,54,0,4.12,DZ,1712883941
206,mount gambier,-37.8333,140.7667,14.94,56,100,2.29,AU,1712883941
207,lobito,-12.3481,13.5456,25.38,90,100,3.01,AO,1712883941
208,saudarkrokur,65.7461,-19.6394,0.22,97,100,2.17,IS,1712883877
209,balikpapan,-1.2675,116.8289,25.55,83,40,3.09,ID,1712883736
210,fort st. john,56.2499,-120.8529,9.94,40,100,4.12,CA,1712883708
211,nyakahanga,-1.6033,31.1414,14.87,94,89,0.99,TZ,1712883942
212,savanna-la-mar,18.219,-78.1332,27.97,88,100,1.56,JM,1712883942
213,cabo san lucas,22.8909,-109.9124,25.17,52,75,3.09,MX,1712883943
214,canutama,-6.5339,-64.3831,23.65,99,99,0.28,BR,1712883801
215,cockburn town,21.4612,-71.1419,25.36,83,9,9.38,TC,1712883935
216,saint-pierre,-21.3393,55.4781,25.82,69,0,2.57,RE,1712883944
217,geraldton,-28.7667,114.6,23.23,56,6,5.66,AU,1712883944
218,beledweyne,4.7358,45.2036,28.59,56,100,4.32,SO,1712883944
219,fortaleza,-3.7227,-38.5247,29.48,91,20,1.03,BR,1712883738
220,kati,12.7441,-8.0726,28.67,34,100,0.23,ML,1712883945
221,ar ruways,24.1103,52.7306,23.9,77,28,4.3,AE,1712883857
222,kuusamo,65.9667,29.1833,0.02,80,0,4.63,FI,1712883946
223,santiago de chuco,-8.15,-78.1833,13.05,86,85,0.62,PE,1712883946
224,barrouallie,13.2333,-61.2667,26.79,78,40,5.14,VC,1712883947
225,chemolgan,43.1897,76.5292,6.81,85,100,3.25,KZ,1712883947
226,lihue,21.9789,-159.3672,24.09,80,75,4.12,US,1712883947
227,kencong,-8.2833,113.3667,27.13,82,47,0.84,ID,1712883948
228,akureyri,65.6835,-18.0878,1.96,75,100,4.63,IS,1712883663
229,kenora,49.8167,-94.4337,7.54,76,75,2.06,CA,1712883728
230,muriti,-1.9833,32.9167,22.63,78,38,5.17,TZ,1712883948
231,guasdualito,7.2424,-70.7324,32.98,43,0,1.03,VE,1712883949
232,xilin hot,43.9667,116.0333,14.17,33,100,4.94,CN,1712883949
233,lata,40.1629,-8.3327,16.62,81,100,1.77,PT,1712883949
234,polyarnyy,69.1989,33.4478,-0.91,88,100,10.61,RU,1712883950
235,tucuma,-0.1833,-50.05,25.9,91,100,2.42,BR,1712883950
236,vilyuchinsk,52.9306,158.4028,7.15,92,18,2.52,RU,1712883837
237,faya-largeau,17.9257,19.1043,26.53,11,34,8.65,TD,1712883950
238,alpena,45.0617,-83.4327,7.18,99,100,9.26,US,1712883804
239,mbinga,-10.9333,35.0167,17.74,99,100,0.93,TZ,1712883951
240,radaur,30.0333,77.15,22.44,25,24,2.86,IN,1712883951
241,sinop,41.7711,34.8709,9.27,93,96,1.21,TR,1712883951
242,rouissat,31.9243,5.3502,14.04,62,40,5.66,DZ,1712883901
243,dhromolaxia,34.8755,33.5868,17.63,89,75,2.06,CY,1712883952
244,murzuq,25.9155,13.9184,21.86,15,8,7.41,LY,1712883798
245,duong dong,10.2167,103.9667,29.0,74,40,4.63,VN,1712883952
246,saipan,15.1355,145.701,31.39,62,40,7.72,MP,1712883953
247,aoulef,26.9667,1.0833,21.75,25,0,6.03,DZ,1712883953
248,popondetta,-8.7537,148.2534,29.8,71,58,0.33,PG,1712883953
249,kalmunai,7.4167,81.8167,26.97,84,100,1.6,LK,1712883954
250,sinabang,2.4803,96.3801,27.69,81,98,1.44,ID,1712883954
251,vuktyl,63.8567,57.3094,0.62,96,100,7.6,RU,1712883954
252,zelenogorskiy,55.0333,87.0,-3.97,79,100,4.17,RU,1712883955
253,quang ngai,15.1167,108.8,28.95,62,100,2.17,VN,1712883955
254,pisco,-13.7,-76.2167,22.03,83,0,7.72,PE,1712883955
255,northam,51.0333,-4.2167,9.78,94,100,6.86,GB,1712883956
256,uturoa,-16.7333,-151.4333,28.57,80,23,7.91,PF,1712883874
257,villa regina,-39.1,-67.0667,13.32,33,100,0.89,AR,1712883956
258,tromso,69.6496,18.957,1.01,93,75,1.54,NO,1712883956
259,mana,5.6592,-53.7767,25.62,91,100,3.75,GF,1712883957
260,lebu,-37.6167,-73.65,10.59,92,1,1.68,CL,1712883810
261,prabumulih,-3.45,104.25,25.41,94,95,1.1,ID,1712883957
262,port pirie,-33.1833,138.0167,18.21,53,97,1.99,AU,1712883958
263,barra do bugres,-15.0725,-57.1811,23.96,88,100,1.48,BR,1712883738
264,luderitz,-26.6481,15.1594,21.69,44,0,2.42,NA,1712883958
265,puerto ayacucho,5.6639,-67.6236,29.47,59,57,1.33,VE,1712883958
266,cooma,-36.2333,149.1333,16.57,42,0,1.8,AU,1712883959
267,knysna,-34.0363,23.0471,12.51,76,1,1.96,ZA,1712883959
268,divnogorsk,55.9594,92.3619,-4.73,83,100,2.73,RU,1712883959
269,pitimbu,-7.4706,-34.8086,27.33,80,79,3.43,BR,1712883959
270,puerto baquerizo moreno,-0.9,-89.6,25.53,86,69,3.72,EC,1712883960
271,zhosaly,45.4878,64.0781,6.96,54,1,8.24,KZ,1712883960
272,boende,-0.2167,20.8667,22.8,97,99,0.97,CD,1712883949
273,guerrero negro,27.9769,-114.0611,19.19,62,100,6.16,MX,1712883961
274,jayapura,-2.5333,140.7,31.66,77,95,1.41,ID,1712883961
275,keflavik,64.0049,-22.5624,3.95,93,75,6.17,IS,1712883673
276,the bottom,17.6259,-63.2492,25.07,81,100,12.12,BQ,1712883962
277,dolzhanskaya,46.6311,37.8039,14.44,63,51,2.12,RU,1712883962
278,mitchell,43.7094,-98.0298,10.99,32,20,5.66,US,1712883962
279,sungho 1-tong,38.9914,125.9778,17.26,45,0,2.74,KP,1712883963
280,sosnovo-ozerskoye,52.5249,111.5418,3.69,56,100,0.81,RU,1712883963
281,bardai,11.65,7.2333,27.09,11,100,3.92,NG,1712883964
282,sao paulo de olivenca,-3.3783,-68.8725,24.43,98,100,0.59,BR,1712883964
283,pyhajarvi,67.0701,27.2176,-4.1,96,23,1.77,FI,1712883965
284,estevan,49.1334,-102.9842,11.11,32,0,6.17,CA,1712883965
285,brainerd,46.358,-94.2008,11.16,56,7,0.89,US,1712883666
286,weno,7.4515,151.8468,29.97,84,100,4.63,FM,1712883966
287,petawawa,45.9001,-77.3328,10.99,95,100,2.24,CA,1712883966
288,umm kaddadah,13.6017,26.6876,23.68,13,6,5.84,SD,1712883966
289,greymouth,-42.4667,171.2,12.27,83,100,4.91,NZ,1712883967
290,tucupita,9.0622,-62.051,26.46,76,7,3.47,VE,1712883967
